Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0121PP1,2016.03,8899,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Education and Training,,
RNAA.SG01NAC34B0121PP1,2017.03,9265,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Education and Training,,
RNAA.SG01NAC34B0121PP1,2018.03,9563,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Education and Training,,
RNAA.SG01NAC34B0121PP1,2019.03,10183,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Education and Training,,
RNAA.SG01NAC34B0121QQ1,2000.03,4024,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2001.03,4296,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2002.03,4662,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2003.03,4975,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2004.03,5407,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
RNAA.SG01NAC34B0121QQ1,2005.03,5916,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Total North Island,Health Care and Social Assistance,,
